,Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
246,2024-03-23,24.3,32.5,27.2,88.0,0.0,9.9,4.0,290.0,1.0,C 
247,2024-03-24,24.2,31.2,27.3,91.0,1.3,6.2,3.0,40.0,1.0,C 
248,2024-03-25,25.2,33.2,28.4,83.0,12.4,2.4,5.0,300.0,1.0,C 
249,2024-03-26,24.2,32.6,28.1,83.0,0.0,9.1,4.0,320.0,1.0,C 
250,2024-03-27,24.8,29.0,26.0,94.0,0.0,9.0,3.0,50.0,0.0,C 
251,2024-03-28,24.1,32.0,27.5,88.0,4.0,0.0,3.0,70.0,1.0,C 
252,2024-03-30,24.0,27.6,25.3,96.0,1.4,7.2,2.0,90.0,0.0,C 
253,2024-03-31,23.4,31.9,27.5,89.0,28.6,0.0,4.0,300.0,1.0,NW
254,2024-04-01,24.6,31.6,27.6,87.0,1.7,4.9,5.0,300.0,1.0,C 
255,2024-04-02,24.6,32.7,27.9,85.0,0.0,5.4,3.0,300.0,1.0,C 
256,2024-04-04,24.7,32.8,28.0,86.0,0.0,5.9,4.0,310.0,1.0,C 
257,2024-04-05,23.9,33.2,29.9,79.0,0.0,8.3,5.0,330.0,2.0,NW
258,2024-04-06,25.5,32.9,27.9,88.0,0.0,8.0,4.0,310.0,1.0,C 
259,2024-04-07,25.5,33.8,28.1,85.0,0.2,4.6,3.0,60.0,1.0,C 
260,2024-04-08,24.6,33.6,28.7,83.0,0.0,3.8,4.0,300.0,1.0,C 
261,2024-04-09,25.2,32.5,26.6,94.0,0.3,9.7,3.0,290.0,1.0,C 
262,2024-04-10,24.7,31.0,26.7,93.0,70.0,2.7,2.0,50.0,0.0,C 
263,2024-04-11,24.6,32.6,26.9,90.0,6.6,0.8,5.0,360.0,1.0,C 
264,2024-04-12,23.9,32.0,26.8,90.0,4.1,5.0,3.0,300.0,1.0,C 
265,2024-04-13,24.0,32.6,27.5,87.0,92.7,5.2,3.0,300.0,1.0,C 
266,2024-04-14,24.2,33.4,28.5,84.0,0.0,5.3,4.0,300.0,1.0,C 
267,2024-04-15,25.0,33.1,28.5,84.0,0.0,9.1,4.0,300.0,1.0,C 
268,2024-04-16,25.4,33.0,28.0,88.0,0.0,7.1,4.0,290.0,1.0,C 
269,2024-04-17,25.4,31.8,27.5,86.0,2.6,6.1,5.0,160.0,2.0,C 
270,2024-04-18,24.5,33.2,28.2,85.0,0.0,6.2,4.0,310.0,1.0,C 
271,2024-04-19,23.8,33.2,28.4,82.0,0.0,6.4,4.0,330.0,1.0,C 
272,2024-04-20,24.1,34.1,28.3,88.0,0.0,9.6,4.0,80.0,1.0,C 
273,2024-04-21,25.2,32.6,28.7,86.0,2.7,4.9,4.0,330.0,1.0,C 
274,2024-04-22,25.4,33.5,28.8,84.0,0.0,2.8,4.0,310.0,1.0,C 
275,2024-04-23,25.3,32.2,26.5,93.0,0.2,7.8,3.0,300.0,0.0,C 
276,2024-04-24,24.5,32.0,27.8,88.0,5.0,2.9,3.0,320.0,1.0,C 
277,2024-04-25,24.8,34.2,28.8,83.0,7.5,6.2,3.0,240.0,1.0,C 
278,2024-04-26,25.6,31.5,27.7,90.0,0.0,8.0,2.0,250.0,0.0,C 
279,2024-04-27,24.5,33.2,28.8,82.0,1.5,2.6,4.0,290.0,1.0,C 
280,2024-04-28,25.0,31.4,27.4,92.0,0.0,8.6,2.0,310.0,0.0,C 
281,2024-04-29,25.0,29.7,26.5,94.0,2.0,0.0,3.0,60.0,1.0,C 
282,2024-04-30,24.0,33.6,28.6,82.0,1.0,0.0,3.0,320.0,1.0,C 
283,2024-05-01,24.6,32.8,28.8,84.0,0.0,9.8,4.0,290.0,1.0,C 
284,2024-05-02,25.2,33.0,28.2,85.0,0.0,8.5,2.0,320.0,1.0,C 
